Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G12658,2022,Ukalta 05-18,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.0158,46.2354,16049.668
G12658,2022,Ukalta 05-18,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,2531.9055,2744.1382,16049.668
G12658,2022,Ukalta 05-18,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.4893,696.0233,16049.668
G12659,2022,Ferrier 07-18-040-09 W5M,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,489.192,590.0041,16317.29905
G12659,2022,Ferrier 07-18-040-09 W5M,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.00682,11.01558,16317.29905
G12659,2022,Ferrier 07-18-040-09 W5M,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,13857.442,15628.53116,16317.29905
G12659,2022,Ferrier 07-18-040-09 W5M,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,5.07485,87.74821,16317.29905
G12660,2022,Hammerstone Quarry,Alberta,Limestone Mining and Quarrying,Stationary Fuel Combustion / Combustion stationnaire de combustibles,3847.6,3864.042,16354.58
G12660,2022,Hammerstone Quarry,Alberta,Limestone Mining and Quarrying,On-site Transportation / Transport sur le site,12454.486,12490.538,16354.58
G12661,2022,Crestar Little Bow (00-16-31-014-18W4),Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,2415.7464,2604.7868,17497.1282
G12661,2022,Crestar Little Bow (00-16-31-014-18W4),Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,13340.3183,14445.574,17497.1282
G12661,2022,Crestar Little Bow (00-16-31-014-18W4),Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.2766,446.7674,17497.1282
G12662,2022,ABBT0580005,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,22.1257,25.0833,17778.43955
G12662,2022,ABBT0580005,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,1652.67601,1661.37562,17778.43955
